Id,SalePrice
42,157066.61514773677
1156,189232.42896726952
239,285830.09354924754
810,118195.8499228402
471,217779.9002696243
1315,124614.95829631262
478,412689.4120724111
1347,255659.74253810258
721,264294.82738809683
755,148195.24677672572
403,102161.42291144612
432,111990.75482753577
1142,183803.84016871388
12,373978.46605464217
1446,108710.98844181902
905,123765.09872918307
1195,144123.09639372813
984,248457.07817818597
128,99422.43236065815
1378,134318.026031115
882,193617.4232321155
1082,131303.5851507176
1225,195815.30554162103
177,204525.28808288107
561,165968.71100907962
698,119555.83725750203
1319,264619.6549514854
1167,259318.89916466264
961,118615.80741664475
1238,224523.2343840807
699,132829.347171475
427,261730.50649363405
801,188729.45340409013
640,263231.844347904
1276,141934.0123806878
837,161145.94882314812
1408,119149.4555752664
183,130464.60654748327
1254,237748.61134566148
548,123449.99503657219
751,104855.22898670411
1101,61603.88654520041
359,123859.71406414383
881,154700.35298575746
1262,129838.68600700598
130,152386.22068519486
1313,309894.62562744075
838,102808.89378957605
281,229914.3517635344
812,152614.91922903448
1359,171006.7970915803
773,136058.29437470136
891,117852.13810254559
188,134659.09786173693
196,155828.3270613594
55,132686.45511820805
189,142895.10716858745
1447,147416.3228533867
1006,148687.60402250945
945,165802.06365883097
1453,133670.4173492123
711,106676.08281012841
1344,178081.94348721555
688,166501.98179099368
431,102211.3244082096
288,105708.91253658025
1135,161129.89364008605
643,396732.684642056
346,131555.71554658253
27,127204.46236765047
216,139721.28308544867
936,89223.45175838687
1049,142337.39702379226
1433,105470.64050499919
963,165545.42431165837
243,100887.41247614316
1300,160013.26345356673
1098,184231.12925679868
539,137370.01779230413
343,90912.84499257088
1004,150467.77090529967
203,129009.11487967987
793,227406.43262975453
87,182083.90206139814
808,195195.15881850646
214,154438.79057903797
768,161691.8486811787
999,83387.66287430617
525,296393.482497761
990,198321.74564772652
911,142981.37185791726
250,245271.48371101203
477,206084.2443565391
40,77165.07954597232
118,136358.81633791054
126,84846.7295149654
1220,102349.36163834005
264,126363.54386589526
155,116409.91829512372
1298,143618.67644578413
1041,168562.56620673073
1299,361119.54259181675
1285,175823.80518430079
1349,246012.691400263
822,102581.23334347105
240,131342.34103114984
787,127016.97737958323
847,196251.2613944755
803,185939.93166644557
770,395837.28664355533
224,119947.14327035552
924,199551.31899786595
890,172845.61716582344
935,240603.25347677403
615,87885.13441819734
536,124147.67361459896
1342,154588.47365455146
310,405338.31360310526
271,262546.55699162337
1444,102179.59555263282
795,206466.10455094048
926,166768.97944369153
1054,148252.5551605109
279,367308.50266887544
1271,215688.56182858205
889,341412.25203554996
900,134828.59865801514
778,144502.49143407532
1289,286899.24970179365
1394,149575.0579825976
1184,145307.66460866612
222,208732.63540908747
1132,115114.82386391894
596,327528.0165663304
528,452529.6933247203
1008,105556.16168555313
407,128535.22979635431
1320,117758.27156339711
435,93417.50184100462
918,142512.773293399
678,121350.68375105274
616,144141.26116884698
164,101794.06514081242
727,216044.4367545306
677,107293.93613838623
92,130438.85042258921
987,138073.86476238276
663,158261.7761840556
825,228463.76658861915
1336,161325.64882825463
1331,236386.1614668529
284,252015.43964809756
318,261307.3576213037
740,200905.6581044102
325,258251.11103639303
839,137394.7261625932
531,191699.18131125503
1374,451647.9817651299
1038,256874.88899537188
494,147878.15622626897
1224,166804.08358844655
1324,99307.32005543818
923,184012.90148489218
910,177469.62186474685
1110,308044.0758842737
1309,138953.31234969225
766,267854.4746155535
737,92812.22760970176
499,131132.7105942201
549,123656.34474617461
67,245350.03560651137
1223,150575.4868496714
1358,156691.92068900663
1314,368879.9328596552
294,232303.9370849462
858,170043.54499968624
135,178748.08089224028
690,179891.97742142482
439,97206.67069848419
1429,110254.00630826749
383,207658.84543126982
1460,168032.00568736854
247,124006.4615653395
781,172761.6581849047
1211,191344.49137656423
262,371749.6441529003
880,148740.13337094383
81,190029.9540034859
577,152729.94135915342
290,131940.404266057
123,132991.69680820938
517,172608.90370137125
335,181806.7911727296
1213,100694.14428489139
152,404184.2747292882
1052,188827.42193147112
286,168380.45522198195
779,134613.09002025353
209,231162.42221754498
1196,161798.36689197473
589,196118.80403773917
1403,194062.6279896799
1400,149738.4110139927
1365,165711.3621412492
79,102849.8102114126
1027,146897.3377351073
1290,275516.56192375574
1426,158529.98953053888
78,114467.11125499076
689,220468.47308779496
1258,96220.74489001438
821,199530.0298036649
180,123602.84283701902
377,157423.11592048677
653,192806.9996915477
1334,118981.57263346347
720,129295.53502148106
915,167055.32315885584
48,261861.04724469304
1174,226192.44401462158
724,119912.83412158003
654,127543.66212893117
584,332481.26748198783
723,121329.50869760063
1057,198527.46962696445
213,228277.26782263845
1333,113873.51121503371
952,112329.4606622962
440,137607.90635350588
389,201224.69049789538
1193,123599.6260248829
95,198392.27408706362
1171,142321.04572141662
190,258769.0055643936
